timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1557442814558375909, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814560293080, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814562369273, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814568976602, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814570896182, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814572815911, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814574734455, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814576647622, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814578567963, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814580487006, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814588941359, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814590867272, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814592785743, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814594703865, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814596630044, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814598545566, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814600464627, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814602665449, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814609239722, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814611158802, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814613078168, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814614992152, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814616908157, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814618917488, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814620841020, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814630301515, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814632668797, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814687766694, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814695456043, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814697654158, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814700249560, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814704338300, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
